longitude;latitude;code_commune_station;libelle
6.906195776;47.806839042;68307;SEWEN
6.887820801;47.800124444;68307;SEWEN
6.888910324;47.800574867;68307;SEWEN
6.895207711;47.801825369;68307;SEWEN
6.889294424;47.800706288;68307;SEWEN
6.907429448;47.806698765;68307;SEWEN
6.874408445;47.817401489;68307;SEWEN
6.961421404;47.793124841;68167;KIRCHBERG
7.058462307;47.775282501;68045;BOURBACH-LE-BAS
7.002925459;47.771364408;68201;MASEVAUX-NIEDERBRUCK
7.007844653;47.765329266;68179;LAUW
7.106683241;47.761036897;68206;MICHELBACH
7.14978292;47.744149208;68060;BURNHAUPT-LE-HAUT
7.14778271;47.743688397;68060;BURNHAUPT-LE-HAUT
7.172174076;47.754997445;68302;SCHWEIGHOUSE-THANN
7.232178039;47.74548707;68267;REININGUE
7.303346596;47.75811444;68256;PFASTATT
7.253871104;47.747205855;68060;BURNHAUPT-LE-HAUT
7.301690786;47.747061324;68224;MULHOUSE
7.287176381;47.739923542;68218;MORSCHWILLER-LE-BAS
7.354389778;47.776633435;68300;SAUSHEIM
7.254434186;47.748230944;68267;REININGUE
7.348210521;47.866883381;68082;ENSISHEIM
7.355920293;47.762505539;68224;MULHOUSE
7.376394371;47.790523615;68300;SAUSHEIM
7.35708605;47.769718462;68154;ILLZACH
6.956372308;47.94379054;68171;KRUTH
6.956472619;47.943697053;68171;KRUTH
6.960753267;47.97657683;68370;WILDENSTEIN
6.971993917;47.871805793;68213;MOLLAU
7.071326146;47.841498373;68372;WILLER-SUR-THUR
7.071326146;47.841498373;68372;WILLER-SUR-THUR
7.079793303;47.851522607;68372;WILLER-SUR-THUR
7.336813417;47.868549411;68082;ENSISHEIM
7.325091074;47.860149364;68082;ENSISHEIM
7.264432888;47.827121576;68321;STAFFELFELDEN
7.2863205;47.842762968;68258;PULVERSHEIM
7.398567822;47.967632992;68242;OBERHERGHEIM
7.394347966;48.072079733;68145;HORBOURG-WIHR
7.417832172;48.04171942;68331;SUNDHOFFEN
7.359879698;47.913220771;68205;MEYENHEIM
7.10778735;47.941663879;68188;LINTHAL
7.104868347;47.940513353;68188;LINTHAL
7.09232647;47.936490448;68188;LINTHAL
7.045813471;47.935002633;68188;LINTHAL
7.096649166;47.937069629;68188;LINTHAL
7.198283641;47.922402957;68058;BUHL
7.17772276;47.922316534;68058;BUHL
7.212038829;47.911077211;68112;GUEBWILLER
7.259975091;47.953787754;68364;WESTHALTEN
7.267539599;47.951259966;68364;WESTHALTEN
7.259975091;47.953787754;68364;WESTHALTEN
7.347260971;48.034371807;68078;EGUISHEIM
7.31030076;47.960387266;68287;ROUFFACH
7.35413665;48.031053171;68295;SAINTE-CROIX-EN-PLAINE
7.333924403;47.900265952;68266;REGUISHEIM
7.311246842;47.858883754;68343;UNGERSHEIM
7.38079998;48.059669735;68066;COLMAR
7.261380304;48.083538326;68338;TURCKHEIM
7.384986107;48.102530621;68066;COLMAR
7.023559214;47.997447661;68210;MITTLACH
7.090609158;48.024419539;68223;MUHLBACH-SUR-MUNSTER
7.072250998;48.014000186;68204;METZERAL
7.110803989;48.051811965;68329;STOSSWIHR
7.043378451;48.050940389;68329;STOSSWIHR
7.065215454;48.054242805;68329;STOSSWIHR
7.202235028;48.043148002;68316;SOULTZBACH-LES-BAINS
7.273658473;48.085355226;68338;TURCKHEIM
7.232118598;48.063425539;68374;WINTZENHEIM
7.207961864;48.047566265;68368;WIHR-AU-VAL
7.207272565;48.048909628;68368;WIHR-AU-VAL
7.207828588;48.048226193;68368;WIHR-AU-VAL
7.147942773;48.120073824;68249;ORBEY
7.161617246;48.126926479;68249;ORBEY
7.171245451;48.151185694;68175;LAPOUTROIE
7.230914947;48.154907514;68162;KAYSERSBERG VIGNOBLE
7.215457142;48.156623648;68162;KAYSERSBERG VIGNOBLE
7.309789553;48.130440401;68310;SIGOLSHEIM
7.369707586;48.159712726;68252;OSTHEIM
7.353594479;48.133381148;68026;BENNWIHR
7.353030288;48.13290633;68026;BENNWIHR
7.30107985;48.200020976;68269;RIBEAUVILLE
7.204665348;48.212019833;68014;AUBURE
7.402653351;48.187145477;68113;GUEMAR
7.422823585;48.186163607;68113;GUEMAR
7.432607296;48.18466641;68153;ILLHAEUSERN
7.448495474;48.161650916;68066;COLMAR
7.523277524;48.01064323;68352;VOLGELSHEIM
7.446763199;48.126224851;68272;RIEDWIHR
7.513108901;48.255909219;67019;BALDENHEIM
7.491112484;48.189128012;67360;OHNENHEIM
7.724766884;48.571879649;67482;STRASBOURG
7.724607739;48.571809368;67482;STRASBOURG
7.459687893;48.200522163;68113;GUEMAR
7.7858512;48.621901523;67482;STRASBOURG
7.349003737;48.318897367;67490;THANVILLE
7.161556958;48.232063734;68298;SAINTE-MARIE-AUX-MINES
7.162248357;48.231255474;68298;SAINTE-MARIE-AUX-MINES
7.162292472;48.243426693;68298;SAINTE-MARIE-AUX-MINES
7.292618402;48.270110321;68185;LIEPVRE
7.345264569;48.278530694;67505;VANCELLE
7.45981862;48.271832622;67462;SELESTAT
7.456646587;48.27284149;67462;SELESTAT
7.475314505;48.278696563;67462;SELESTAT
7.546574037;48.33701451;67246;KOGENHEIM
7.522891412;48.255576627;67311;MUTTERSHOLTZ
7.651113456;48.397643092;67364;OSTHOUSE
7.627987098;48.372629967;67433;SAND
7.617769539;48.379346507;67433;SAND
